,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
7,Hilo,US,75.2,heavy intensity rain,19.71,-155.08,Pakalana Inn
14,Puerto Ayora,EC,78.8,few clouds,-0.74,-90.35,Hostal La Mirada De Solitario George
17,Kapaa,US,82.4,broken clouds,22.08,-159.32,Coral Reef Resort
19,Rock Sound,BS,84.43,overcast clouds,24.9,-76.2,Rock Sound Club
23,Fazilka,IN,86.59,broken clouds,30.41,74.03,Mahant
27,Albany,US,77.0,clear sky,42.65,-73.75,Fairfield Inn & Suites Albany Downtown
28,Atuona,PF,79.03,light rain,-9.8,-139.03,Pearl Resort
37,Gazanjyk,TM,84.97,clear sky,39.24,55.52,Şemşadyñ mamasy
41,Dodge City,US,90.0,clear sky,37.75,-100.02,"Holiday Inn Express & Suites Dodge City, an IHG Hotel"
47,Chai Badan,TH,81.0,light rain,15.2,101.13,Narai Grand Hotel
50,Constitucion,MX,75.0,broken clouds,23.99,-104.67,Hotel Roma
52,Emba,CY,82.4,clear sky,34.81,32.42,Club St. George Resort 5*
53,Padang,ID,80.29,moderate rain,-0.92,100.36,TanaHotel
57,Colares,PT,84.2,few clouds,38.8,-9.45,Hotel Arribas
62,Lompoc,US,82.0,mist,34.64,-120.46,Embassy Suites by Hilton Lompoc Central Coast
67,Tual,ID,77.05,light rain,-5.67,132.75,Suita
74,Faanui,PF,77.95,light rain,-16.48,-151.75,Oa Oa Lodge
75,Sainte-Maxime,FR,89.01,clear sky,43.31,6.64,Les Tourelles
78,Fortuna,US,75.0,haze,40.6,-124.16,Comfort Inn & Suites Redwood Country
79,Ploemeur,FR,82.99,scattered clouds,47.73,-3.43,B&B Hotels
83,Sabha,LY,89.65,clear sky,27.03,14.43,فندق افريقيا -سبها
88,Mana,NG,81.91,light rain,13.03,5.27,Shukura Hotel
94,Campo Formoso,BR,80.65,broken clouds,-10.51,-40.32,Hotel Rio das Pedras
106,Saint-Joseph,FR,89.6,clear sky,43.56,6.97,Les Agapantes
114,Half Moon Bay,US,79.0,clear sky,37.46,-122.43,Half Moon Bay Inn
121,Phan Thiet,VN,76.51,overcast clouds,10.93,108.1,Khách sạn Cà Ty
129,Lasa,CY,82.4,clear sky,34.92,32.53,villa
130,Fare,PF,78.13,clear sky,-16.7,-151.02,hôtel Maitai Lapita Village
134,Sur,OM,84.61,few clouds,22.57,59.53,Sur Hotel
137,Redwood City,US,79.0,clear sky,37.49,-122.23,Sequoia Hotel
140,Hithadhoo,MV,82.63,overcast clouds,-0.6,73.08,Pebbles Inn
145,Meulaboh,ID,81.19,light rain,4.14,96.13,Hotel Meuligou
152,Makakilo City,US,80.6,shower rain,21.35,-158.09,Embassy Suites by Hilton Oahu Kapolei
157,Victoria,BN,77.0,light rain,5.28,115.24,Global
158,Tefe,BR,87.8,scattered clouds,-3.35,-64.71,Hotel Montecarlo
159,Garowe,SO,84.25,broken clouds,8.41,48.48,xaramayn hotel
