City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Urusha,54.05,122.9,-11.65,75,100,8.86,RU,2022-11-29 06:36:08
1,Kishapu,-3.6167,33.8667,78.85,48,27,7.85,TZ,2022-11-29 06:36:08
2,Fairbanks,64.8378,-147.7164,-7.64,71,0,8.05,US,2022-11-29 06:32:24
3,Hilo,19.7297,-155.09,75.25,100,0,5.01,US,2022-11-29 06:34:49
4,Hermanus,-34.4187,19.2345,76.1,52,97,4.9,ZA,2022-11-29 06:36:09
5,Punta Arenas,-53.15,-70.9167,42.91,70,0,26.46,CL,2022-11-29 06:31:30
6,Cabo San Lucas,22.8909,-109.9124,70.52,70,3,1.99,MX,2022-11-29 06:37:09
7,Asau,46.4333,26.4,29.32,77,61,1.36,RO,2022-11-29 06:38:10
8,Wattegama,6.7989,81.4808,87.3,54,100,7.76,LK,2022-11-29 06:38:10
9,Sorland,67.667,12.6934,44.46,71,100,11.79,NO,2022-11-29 06:38:11
10,Redmond,47.674,-122.1215,36.86,81,50,0.43,US,2022-11-29 06:36:43
11,Ponta Do Sol,32.6667,-17.1,66.83,73,23,3.8,PT,2022-11-29 06:39:12
12,Rikitea,-23.1203,-134.9692,73.0,71,7,10.83,PF,2022-11-29 06:40:12
13,Baghdad,33.3406,44.4009,64.31,63,75,4.61,IQ,2022-11-29 06:35:49
14,Upernavik,72.7868,-56.1549,2.7,97,97,17.47,GL,2022-11-29 06:40:13
15,Yellowknife,62.456,-114.3525,-19.44,76,40,6.91,CA,2022-11-29 06:40:14
16,Usinsk,65.9939,57.5281,5.45,97,99,8.5,RU,2022-11-29 06:41:14
17,Butaritari,3.0707,172.7902,81.32,75,20,9.66,KI,2022-11-29 06:41:14
18,Vaini,-21.2,-175.2,80.76,78,20,9.22,TO,2022-11-29 06:42:15
19,Narsaq,60.9167,-46.05,32.22,98,100,3.94,GL,2022-11-29 06:42:15
20,Victoria,22.2855,114.1577,86.05,84,0,6.06,HK,2022-11-29 06:38:35
21,Grand Haven,43.0631,-86.2284,41.56,77,75,6.91,US,2022-11-29 06:43:16
22,Nicoya,10.1483,-85.452,72.75,93,99,2.57,CR,2022-11-29 06:43:16
23,Bluff,-46.6,168.3333,59.81,90,100,11.14,NZ,2022-11-29 06:43:17
24,Cape Town,-33.9258,18.4232,77.88,56,0,14.97,ZA,2022-11-29 06:44:00
25,Talara,-4.5772,-81.2719,66.52,83,95,10.63,PE,2022-11-29 06:44:18
26,Les Cayes,18.2,-73.75,73.35,85,6,3.76,HT,2022-11-29 06:44:18
27,Acajutla,13.5928,-89.8275,76.71,83,90,4.36,SV,2022-11-29 06:44:18
28,New Norfolk,-42.7826,147.0587,64.92,43,4,4.0,AU,2022-11-29 06:44:19
29,Jijiga,9.35,42.8,71.92,20,13,13.85,ET,2022-11-29 06:42:21
30,Leningradskiy,69.3833,178.4167,13.14,87,100,6.91,RU,2022-11-29 06:45:19
31,Busselton,-33.65,115.3333,82.94,33,0,5.5,AU,2022-11-29 06:45:20
32,Zernograd,46.8452,40.3083,32.67,38,51,19.39,RU,2022-11-29 06:46:20
33,Kutum,14.2,24.6667,75.34,19,13,5.01,SD,2022-11-29 06:46:21
34,Roma,43.2128,-75.4557,34.83,90,100,0.0,US,2022-11-29 06:44:29
35,Georgetown,5.4112,100.3354,87.75,73,20,9.22,MY,2022-11-29 06:46:21
36,Qaanaaq,77.484,-69.3632,-12.84,91,95,6.35,GL,2022-11-29 06:47:24
37,Albany,42.6001,-73.9662,34.66,84,4,4.47,US,2022-11-29 06:45:08
38,Puerto Ayora,-0.7393,-90.3518,70.56,90,57,5.01,EC,2022-11-29 06:48:24
39,Mataura,-46.1927,168.8643,59.49,84,100,1.3,NZ,2022-11-29 06:48:25
40,Chlorakas,34.8042,32.4083,70.68,46,20,13.8,CY,2022-11-29 06:48:25
41,Marfino,55.7028,37.3822,23.16,85,100,11.18,RU,2022-11-29 06:48:26
42,Jamestown,42.097,-79.2353,36.99,87,100,1.99,US,2022-11-29 06:49:26
43,Torbay,47.6666,-52.7314,38.75,94,75,34.52,CA,2022-11-29 06:50:27
